                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    134,                0.82651,                 0.6719,                0.81156,                0.73027,                0.70396,                0.75258,                0.56831,                0.77125,                0.65946,                0.80366,               0.005644,               0.005644,               0.005644
                    135,                0.82903,                0.67572,                 0.8104,                 0.7376,                0.70082,                0.75312,                0.56882,                0.77139,                0.65905,                0.80361,               0.005611,               0.005611,               0.005611
                    136,                0.81982,                0.66421,                0.80818,                0.73088,                0.70746,                0.75414,                0.57005,                0.77114,                0.65932,                0.80361,               0.005578,               0.005578,               0.005578
                    137,                0.82812,                0.66839,                0.80713,                0.73424,                0.70603,                0.75433,                0.56985,                0.77142,                0.65866,                0.80359,               0.005545,               0.005545,               0.005545
                    138,                0.83537,                0.67388,                0.80988,                0.73874,                0.70102,                0.75477,                0.57086,                0.77081,                0.65813,                0.80356,               0.005512,               0.005512,               0.005512
                    139,                0.82945,                0.67491,                0.80973,                0.74051,                0.69833,                0.75469,                0.57129,                0.77074,                0.65733,                0.80346,               0.005479,               0.005479,               0.005479
                    140,                0.82279,                0.66076,                0.80905,                0.74774,                0.69525,                0.75486,                0.57151,                0.77005,                0.65663,                0.80335,               0.005446,               0.005446,               0.005446
                    141,                0.81888,                0.65476,                0.80738,                0.75161,                0.69376,                0.75612,                0.57263,                0.76966,                0.65617,                0.80323,               0.005413,               0.005413,               0.005413
                    142,                0.82647,                0.65947,                0.80926,                0.75045,                 0.6959,                0.75661,                0.57298,                0.76916,                0.65556,                0.80316,                0.00538,                0.00538,                0.00538
                    143,                0.82275,                0.65953,                0.80687,                0.75115,                0.69448,                0.75761,                0.57374,                0.76901,                0.65399,                0.80317,               0.005347,               0.005347,               0.005347
                    144,                0.82781,                0.65694,                0.81185,                  0.747,                0.69816,                0.75814,                0.57498,                0.76856,                0.65355,                0.80302,               0.005314,               0.005314,               0.005314
                    145,                0.82773,                0.66715,                0.80894,                0.75057,                0.69455,                0.75843,                0.57419,                0.76826,                0.65318,                0.80294,               0.005281,               0.005281,               0.005281
                    146,                0.81855,                0.65274,                0.80859,                0.75222,                0.69586,                0.75869,                 0.5733,                0.76831,                0.65244,                 0.8029,               0.005248,               0.005248,               0.005248
                    147,                0.82865,                0.64601,                0.80898,                0.75643,                0.69694,                0.75924,                0.57381,                0.76793,                0.65223,                0.80291,               0.005215,               0.005215,               0.005215
                    148,                0.82287,                0.65517,                0.80739,                0.75431,                  0.694,                0.75936,                0.57342,                  0.768,                0.65132,                0.80289,               0.005182,               0.005182,               0.005182
                    149,                0.82034,                0.64765,                0.80852,                0.75372,                0.69536,                0.75938,                0.57435,                0.76793,                0.65111,                0.80297,               0.005149,               0.005149,               0.005149
                    150,                0.81153,                0.64503,                0.80828,                0.75742,                0.69387,                 0.7598,                0.57409,                0.76786,                0.65023,                0.80288,               0.005116,               0.005116,               0.005116
                    151,                0.82083,                0.65126,                0.80768,                0.75548,                0.69543,                0.75931,                0.57505,                0.76749,                0.64935,                0.80296,               0.005083,               0.005083,               0.005083
                    152,                 0.8135,                0.63065,                0.80977,                0.75728,                 0.6975,                0.76085,                0.57502,                0.76788,                0.64833,                0.80297,                0.00505,                0.00505,                0.00505
                    153,                0.81906,                0.63913,                0.81048,                0.76493,                0.69325,                0.76113,                0.57522,                0.76789,                0.64764,                0.80301,               0.005017,               0.005017,               0.005017
                    154,                0.81586,                0.63415,                0.80859,                0.77167,                0.68943,                0.76202,                0.57589,                0.76802,                0.64762,                0.80294,               0.004984,               0.004984,               0.004984
